"element","stage","country","year","value","unit","source_url","note"
"natural-graphite","extraction","Mozambique","2023","13","share_pct","https://rmis.jrc.ec.europa.eu/",""
"natural-graphite","extraction","Madagascar","2023","8","share_pct","https://rmis.jrc.ec.europa.eu/",""
"nickel","extraction","Indonesia","2023","50","share_pct","https://rmis.jrc.ec.europa.eu/",""
"nickel","extraction","Philippines","2023","11","share_pct","https://rmis.jrc.ec.europa.eu/",""
"nickel","extraction","Russia","2023","5","share_pct","https://rmis.jrc.ec.europa.eu/",""
"niobium","extraction","Brazil","2023","92","share_pct","https://rmis.jrc.ec.europa.eu/",""
"niobium","extraction","Canada","2023","8","share_pct","https://rmis.jrc.ec.europa.eu/",""
"phosphate-rock","extraction","China","2023","40","share_pct","https://rmis.jrc.ec.europa.eu/",""
"phosphate-rock","extraction","Morocco","2023","17","share_pct","https://rmis.jrc.ec.europa.eu/",""
"phosphate-rock","extraction","United States","2023","10","share_pct","https://rmis.jrc.ec.europa.eu/",""
"phosphorus","refining","Kazakhstan","2023","71","share_pct","https://rmis.jrc.ec.europa.eu/",""
"phosphorus","refining","Vietnam","2023","18","share_pct","https://rmis.jrc.ec.europa.eu/",""
"phosphorus","refining","China","2023","9","share_pct","https://rmis.jrc.ec.europa.eu/",""
"pgm","extraction","South Africa","2023","71","share_pct","https://rmis.jrc.ec.europa.eu/",""
"pgm","extraction","Russia","2023","11","share_pct","https://rmis.jrc.ec.europa.eu/",""
"pgm","extraction","Zimbabwe","2023","8","share_pct","https://rmis.jrc.ec.europa.eu/",""
"scandium","refining","China","2023","66","share_pct","https://rmis.jrc.ec.europa.eu/",""
"scandium","refining","Russia","2023","26","share_pct","https://rmis.jrc.ec.europa.eu/",""
"scandium","refining","Ukraine","2023","7","share_pct","https://rmis.jrc.ec.europa.eu/",""
"silicon-metal","refining","China","2023","76","share_pct","https://rmis.jrc.ec.europa.eu/",""
"silicon-metal","refining","Norway","2023","5","share_pct","https://rmis.jrc.ec.europa.eu/",""
"silicon-metal","refining","Brazil","2023","4","share_pct","https://rmis.jrc.ec.europa.eu/",""
"strontium","extraction","Spain","2023","32","share_pct","https://rmis.jrc.ec.europa.eu/",""
"strontium","extraction","Iran","2023","30","share_pct","https://rmis.jrc.ec.europa.eu/",""
"strontium","extraction","Mexico","2023","13","share_pct","https://rmis.jrc.ec.europa.eu/",""
"tantalum","extraction","DR Congo","2023","41","share_pct","https://rmis.jrc.ec.europa.eu/",""
"tantalum","extraction","Rwanda","2023","30","share_pct","https://rmis.jrc.ec.europa.eu/",""
"tantalum","extraction","Brazil","2023","10","share_pct","https://rmis.jrc.ec.europa.eu/",""
"titanium-metal","refining","China","2023","52","share_pct","https://rmis.jrc.ec.europa.eu/",""
"titanium-metal","refining","Japan","2023","22","share_pct","https://rmis.jrc.ec.europa.eu/",""
"titanium-metal","refining","Russia","2023","13","share_pct","https://rmis.jrc.ec.europa.eu/",""
"tungsten","extraction","China","2023","84","share_pct","https://rmis.jrc.ec.europa.eu/",""
"tungsten","extraction","Vietnam","2023","4","share_pct","https://rmis.jrc.ec.europa.eu/",""
"tungsten","extraction","Russia","2023","3","share_pct","https://rmis.jrc.ec.europa.eu/",""
"vanadium","refining","China","2023","70","share_pct","https://rmis.jrc.ec.europa.eu/",""
"vanadium","refining","Russia","2023","17","share_pct","https://rmis.jrc.ec.europa.eu/",""
"vanadium","refining","South Africa","2023","8","share_pct","https://rmis.jrc.ec.europa.eu/",""
