"company","hq_country","website","type","news_query","news_feed","maturity","status","status_note","logo"
"Vulcan Energy Resources","Germany","https://v-er.eu","Geothermal lithium","","","scale-up","active","","vulcan-energy-resources.png"
"Zinnwald Lithium","United Kingdom","https://www.zinnwaldlithium.com","Lithium developer","","","scale-up","active","","zinnwald-lithium.png"
"Wacker Chemie","Germany","https://www.wacker.com","Silicones and polysilicon","","","incumbent","active","","wacker-chemie.png"
"Heraeus","Germany","https://www.heraeus.com","Precious metals technology","","","incumbent","active","","heraeus.png"
"Sachtleben Bergbau","Germany","https://www.sachtleben-bergbau.de","Baryte and fluorspar mining","","","incumbent","active","","sachtleben-bergbau.png"
"Trimet Aluminium","Germany","https://www.trimet.eu","Aluminium smelting","","","incumbent","active","","trimet-aluminium.png"
"Umicore","Belgium","https://www.umicore.com","Materials technology and recycling","","","incumbent","active","","umicore.ico"
"Campine","Belgium","https://www.campine.com","Antimony and lead recycling","","","incumbent","active","","campine.png"
"Solvay","Belgium","https://www.solvay.com","Chemicals and rare earths","","","incumbent","active","","solvay.ico"
"Framatome","France","https://www.framatome.com","Nuclear and specialty metals","","","incumbent","active","","framatome.png"
"Nyrstar","Netherlands","https://www.nyrstar.com","Zinc and by-product metals","","","incumbent","active","","nyrstar.png"
"Aluminium Dunkerque","France","https://aluminiumdunkerque.fr","Aluminium smelting","","","incumbent","active","","aluminium-dunkerque.svg"
"Imerys","France","https://www.imerys.com","Industrial minerals","Imerys lithium EMILI","","incumbent","active","",""
"Lundin Mining","Canada","https://lundinmining.com","Base metals mining","","","incumbent","active","","lundin-mining.png"
"Beralt Tin and Wolfram","Portugal","https://www.beralt.com","Tungsten mining","Panasqueira tungsten mine","","incumbent","active","",""
"Savannah Resources","United Kingdom","https://www.savannahresources.com","Lithium developer","Savannah Resources Barroso lithium","","scale-up","active","","savannah-resources.png"
"Almina","Portugal","https://www.almina.pt","Base metals mining","","","incumbent","active","",""
"Atlantic Copper","Spain","https://www.atlantic-copper.es","Copper smelting","","","incumbent","active","","atlantic-copper.png"
"Atalaya Mining","Cyprus","https://atalayamining.com","Copper mining","","","incumbent","active","","atalaya-mining.svg"
"First Quantum Minerals","Canada","https://www.first-quantum.com","Copper mining","","","incumbent","active","","first-quantum-minerals.png"
"Saloro","Spain","https://saloro.es","Tungsten mining","Barruecopardo tungsten","","scale-up","active","",""
"Strategic Minerals Spain","Spain","https://strategicmineralsspain.com","Tantalum and niobium","","","scale-up","active","",""
"Minersa Group","Spain","https://www.minersa.com","Industrial minerals","Minersa fluorspar Asturias","","incumbent","active","","minersa-group.png"
"Extremadura New Energies","Spain","https://extremaduranewenergies.com","Lithium developer","","","startup","active","",""
"Alcoa","United States","https://www.alcoa.com","Aluminium","","","incumbent","active","","alcoa.png"
"Ferroglobe","United Kingdom","https://www.ferroglobe.com","Silicon and ferroalloys","","","incumbent","active","",""
"Wolfram Bergbau und Hütten","Austria","https://www.wolfram.at","Tungsten mining and processing","","","incumbent","active","","wolfram-bergbau-und-hutten.png"
"Montanwerke Brixlegg","Austria","https://www.montanwerke-brixlegg.com","Copper recycling","","","incumbent","active","","montanwerke-brixlegg.png"
"Treibacher Industrie","Austria","https://www.treibacher.com","Ferroalloys and specialty chemicals","","","incumbent","active","","treibacher-industrie.png"
"European Lithium","Australia","https://europeanlithium.com","Lithium developer","","","scale-up","active","","european-lithium.png"
"Geomet","Czechia","https://www.geomet.cz","Lithium developer","Cinovec lithium Geomet","","scale-up","active","","geomet.png"
"Global Tungsten and Powders","United States","https://www.globaltungsten.com","Tungsten processing","","","incumbent","active","","global-tungsten-and-powders.png"
"OKD","Czechia","https://www.okd.cz","Coking coal mining","","","incumbent","active","","okd.png"
"KGHM Polska Miedź","Poland","https://kghm.com","Copper and silver","","","incumbent","active","","kghm-polska-miedz.ico"
"Jastrzębska Spółka Węglowa","Poland","https://www.jsw.pl","Coking coal mining","JSW coking coal","","incumbent","active","","jastrzebska-spo-ka-weglowa.png"
"Orlen","Poland","https://www.orlen.pl","Energy and helium","","","incumbent","active","","orlen.ico"
"Metlen Energy and Metals","Greece","https://www.metlengroup.com","Bauxite and aluminium","Metlen Mytilineos aluminium","","incumbent","active","","metlen-energy-and-metals.ico"
"Larco","Greece","https://www.larco.gr","Ferronickel","","","incumbent","liquidation","The Greek state ferronickel producer was placed under special liquidation following an EU state aid ruling, and its assets have been tendered. Verify the current position.",""
"Dundee Precious Metals","Canada","https://dundeeprecious.com","Copper and gold mining","","","incumbent","active","","dundee-precious-metals.png"
"Alro","Romania","https://www.alro.ro","Aluminium","","","incumbent","active","","alro.ico"
"Slovalco","Slovakia","https://www.slovalco.sk","Aluminium smelting","","","incumbent","active","","slovalco.ico"
"Neo Performance Materials","Canada","https://www.neomaterials.com","Rare earth separation and magnets","Neo Performance Materials Narva","","incumbent","active","","neo-performance-materials.png"
"Maffei Sarda Silicati","Italy","https://www.gruppomaffei.eu","Feldspar mining","","","incumbent","active","",""
"Zijin Mining","China","https://www.zijinmining.com","Diversified mining","Zijin Bor Serbia copper","","incumbent","active","",""
"Rio Tinto","United Kingdom","https://www.riotinto.com","Diversified mining","Rio Tinto Jadar lithium","","incumbent","active","","rio-tinto.png"
"Zavalivsky Graphite","Ukraine","https://zg.com.ua","Graphite mining","","","incumbent","active","",""
"Eti Maden","Turkey","https://www.etimaden.gov.tr","State boron producer","","","incumbent","active","",""
"Century Aluminum","United States","https://centuryaluminum.com","Aluminium smelting","","","incumbent","active","","century-aluminum.svg"
"PCC BakkiSilicon","Iceland","https://www.pccbakkisilicon.com","Silicon metal","","","incumbent","active","",""
"Less Common Metals","United Kingdom","https://lesscommonmetals.com","Rare earth alloys","","","scale-up","active","","less-common-metals.png"
"Cornish Lithium","United Kingdom","https://cornishlithium.com","Lithium developer","","","startup","active","","cornish-lithium.png"
"9-Tech","Italy","https://www.9tech.it/en/","Photovoltaic and e-waste recovery","","","startup","active","","9-tech.png"
"cylib","Germany","https://cylib.de","Battery recycling, RWTH Aachen spin-off","cylib battery recycling","","startup","active","","cylib.png"
"tozero","Germany","https://tozero.tech","Lithium-ion battery recycling","tozero battery recycling Munich","","startup","active","",""
"HyProMag","United Kingdom","https://hypromag.com","Magnet recycling, University of Birmingham spin-out","","","startup","active","","hypromag.png"
"Ionic Technologies","United Kingdom","https://ionictechnologies.com","Rare earth separation, Queen’s University Belfast spin-out","","","startup","active","","ionic-technologies.png"
"Altilium","United Kingdom","https://altiliumgroup.com","EV battery recycling","","","startup","active","","altilium.png"
"Hydrovolt","Norway","https://www.hydrovolt.com","Battery recycling, Hydro and Northvolt joint venture","","","scale-up","active","","hydrovolt.png"
"Librec","Switzerland","https://librec.ch","Lithium-ion battery recycling","","","startup","active","","librec.png"
"Mecaware","France","https://mecaware.com","Battery metal recovery","","","startup","active","","mecaware.png"
"Carester","France","https://www.carester.com","Rare earth refining and recycling","Carester Caremag Lacq","","scale-up","active","",""
"Green Lithium","United Kingdom","https://greenlithium.co.uk","Merchant lithium refining","","","startup","active","","green-lithium.png"
"Eramet","France","https://www.eramet.com","Mining and metals group","","","incumbent","active","","eramet.png"
"Rio Narcea Recursos","Spain","https://www.rionarcearecursos.com","Nickel and cobalt developer","","","scale-up","active","",""
"Solvay Chimica Italia","Italy","https://www.solvay.com","Precious metals recycling","","","incumbent","active","","solvay-chimica-italia.ico"
"Tokai COBEX Savoie","France","https://www.tokaicobex.com","Carbon and graphite products","","","incumbent","active","","tokai-cobex-savoie.png"
"Euro Manganese","Canada","https://www.mn25.ca","Manganese developer","","","scale-up","active","","euro-manganese.png"
"UP Catalyst","Estonia","https://upcatalyst.com","Graphite from carbon dioxide","","","startup","active","","up-catalyst.svg"
"Sibanye-Stillwater Sandouville","France","https://www.sibanyestillwater.com","Nickel refining and battery metals","","","incumbent","active","","sibanye-stillwater-sandouville.svg"
"Hycamite TCD Technologies","Finland","https://hycamite.com","Methane split to hydrogen and graphite","","","startup","active","","hycamite-tcd-technologies.webp"
"Orano Batteries","France","https://www.orano.group","Battery recycling","","","incumbent","active","","orano-batteries.png"
"Lithium Iberia","Spain","https://lithiumiberia.com","Lithium developer","","","startup","active","","lithium-iberia.png"
"Itelyum Regeneration","Italy","https://www.itelyum.com","Waste regeneration and rare earth recovery","","","incumbent","active","","itelyum-regeneration.ico"
"Lifthium Energy","Portugal","https://www.lifthium.com","Lithium chemicals","","","startup","active","","lifthium-energy.png"
"Rock Tech Lithium","Germany","https://www.rocktechlithium.com","Lithium hydroxide converter","","","scale-up","active","","rock-tech-lithium.png"
"MagREEsource","France","https://magreesource.com","Magnet recycling and manufacture","","","startup","active","","magreesource.ico"
"Recursos Minerales de Galicia","Spain","https://www.solidmines.com","Lithium developer","","","startup","active","",""
"Abenojar Tungsten","Spain","https://www.iberianresources.com","Tungsten developer","","","startup","active","",""
"Northvolt Revolt","Sweden","https://northvolt.com","Battery recycling","Northvolt Revolt recycling","","scale-up","insolvency","Parent Northvolt AB filed for bankruptcy in Sweden in March 2025. The CRM Act annex of the same month still lists NorthCYCLE as ongoing, so the two sources disagree; check before relying on either.","northvolt-revolt.png"
"Elemental Battery Metals","Poland","https://elementalstrategicmetals.com","Battery metal recycling","","","scale-up","active","",""
"Portovesme","Italy","https://www.glencore.com","Non-ferrous metals, Glencore","","","incumbent","active","","portovesme.png"
"PCC Thorion","Germany","https://www.pcc.eu","Silicon anode materials","","","startup","active","","pcc-thorion.svg"
"Fortum Battery Recycling","Finland","https://www.fortum.com","Battery recycling","","","incumbent","active","","fortum-battery-recycling.ico"
"Mkango Resources","United Kingdom","https://www.mkango.ca","Rare earth separation and recycling","","","scale-up","active","","mkango-resources.png"
"Lusorecursos Portugal Lithium","Portugal","https://lusorecursos.com","Lithium developer","","","scale-up","active","","lusorecursos-portugal-lithium.svg"
"Euro Sun Mining","Canada","https://www.eurosunmining.com","Copper and gold developer","","","scale-up","active","","euro-sun-mining.png"
"Anglo American","United Kingdom","https://www.angloamerican.com","Diversified mining","","","incumbent","active","","anglo-american.png"
"Salrom","Romania","https://www.salrom.ro","State salt and minerals company","","","incumbent","active","","salrom.png"
"Verde Magnesium","Romania","https://verdemagnesium.com","Magnesium developer","","","startup","active","",""
"Viridian Lithium","France","https://viridianlithium.com","Lithium conversion","","","startup","active","",""
"Circular Materials","Italy","https://circularmaterials.it","Metal recovery from complex waste","","","startup","active","","circular-materials.png"
"Iberian Resources Spain","Spain","https://www.iberianresources.com","Tungsten and tin developer","","","scale-up","active","",""
